Würfel Angriff:     Würfel Verteidigung:     Ausgang:
1 3 5               6 5                      Sieg der Verteidigung
1 3 5               6 6                      Sieg der Verteidigung
1 3 6               1 1                      Sieg des Angriffs
1 3 6               1 2                      Sieg des Angriffs
1 3 6               1 3                      Sieg des Angriffs
1 3 6               1 4                      Sieg des Angriffs
1 3 6               1 5                      Sieg des Angriffs
1 3 6               1 6                      Gleichstand! YAY
1 3 6               2 1                      Sieg des Angriffs
1 3 6               2 2                      Sieg des Angriffs
1 3 6               2 3                      Sieg des Angriffs
1 3 6               2 4                      Sieg des Angriffs
1 3 6               2 5                      Sieg des Angriffs
1 3 6               2 6                      Gleichstand! YAY
1 3 6               3 1                      Sieg des Angriffs
1 3 6               3 2                      Sieg des Angriffs
1 3 6               3 3                      Gleichstand! YAY
1 3 6               3 4                      Gleichstand! YAY
1 3 6               3 5                      Gleichstand! YAY
1 3 6               3 6                      Sieg der Verteidigung
1 3 6               4 1                      Sieg des Angriffs
1 3 6               4 2                      Sieg des Angriffs
1 3 6               4 3                      Gleichstand! YAY
1 3 6               4 4                      Gleichstand! YAY
1 3 6               4 5                      Gleichstand! YAY
1 3 6               4 6                      Sieg der Verteidigung
1 3 6               5 1                      Sieg des Angriffs
1 3 6               5 2                      Sieg des Angriffs
1 3 6               5 3                      Gleichstand! YAY
1 3 6               5 4                      Gleichstand! YAY
1 3 6               5 5                      Gleichstand! YAY
1 3 6               5 6                      Sieg der Verteidigung
1 3 6               6 1                      Gleichstand! YAY
1 3 6               6 2                      Gleichstand! YAY
1 3 6               6 3                      Sieg der Verteidigung
1 3 6               6 4                      Sieg der Verteidigung
1 3 6               6 5                      Sieg der Verteidigung
1 3 6               6 6                      Sieg der Verteidigung
1 4 1               1 1                      Gleichstand! YAY
1 4 1               1 2                      Gleichstand! YAY
1 4 1               1 3                      Gleichstand! YAY
1 4 1               1 4                      Sieg der Verteidigung
1 4 1               1 5                      Sieg der Verteidigung
1 4 1               1 6                      Sieg der Verteidigung
1 4 1               2 1                      Gleichstand! YAY
1 4 1               2 2                      Gleichstand! YAY
1 4 1               2 3                      Gleichstand! YAY
1 4 1               2 4                      Sieg der Verteidigung
1 4 1               2 5                      Sieg der Verteidigung
1 4 1               2 6                      Sieg der Verteidigung
1 4 1               3 1                      Gleichstand! YAY
1 4 1               3 2                      Gleichstand! YAY
1 4 1               3 3                      Gleichstand! YAY
1 4 1               3 4                      Sieg der Verteidigung
1 4 1               3 5                      Sieg der Verteidigung
1 4 1               3 6                      Sieg der Verteidigung
1 4 1               4 1                      Sieg der Verteidigung
1 4 1               4 2                      Sieg der Verteidigung
1 4 1               4 3                      Sieg der Verteidigung
1 4 1               4 4                      Sieg der Verteidigung
1 4 1               4 5                      Sieg der Verteidigung
1 4 1               4 6                      Sieg der Verteidigung
1 4 1               5 1                      Sieg der Verteidigung
1 4 1               5 2                      Sieg der Verteidigung
1 4 1               5 3                      Sieg der Verteidigung
1 4 1               5 4                      Sieg der Verteidigung
1 4 1               5 5                      Sieg der Verteidigung
1 4 1               5 6                      Sieg der Verteidigung
1 4 1               6 1                      Sieg der Verteidigung
1 4 1               6 2                      Sieg der Verteidigung
